Date,Brand,20 Days Moving NS,BW_Vol,BW_NVol
2019-09-26,Starbucks,-0.11281474745,15866,-1.772362903888843
2019-09-25,Starbucks,-0.03542963155,12500,-1.8415481377949519
2019-09-24,Starbucks,0.05046656220000002,12124,-1.8492764942859492
2019-09-23,Starbucks,0.050055929550000024,14099,-1.8086820685686098
2019-09-22,Starbucks,0.030296474499999983,6908,-1.9564868864589329
2019-09-21,Starbucks,0.12638308925000002,12416,-1.843274685521664
2019-09-20,Starbucks,0.27634836565,17191,-1.7451286689139192
2019-09-19,Starbucks,0.40352412094999995,8333,-1.9271972375236373
2019-09-18,Starbucks,0.37443135554999996,10191,-1.8890076461399326
2019-09-17,Starbucks,0.36608406475000005,7982,-1.9344117405245416
2019-09-13,Starbucks,0.3604883696000001,8782,-1.9179684288415686
2019-09-12,Starbucks,0.35887788885000005,8141,-1.9311436323275508
2019-09-11,Starbucks,0.4711037047500001,9174,-1.909911206116912
2019-09-10,Starbucks,0.4778845445,11099,-1.8703444873797583
2019-09-09,Starbucks,0.4941558187,8607,-1.921565403272219
2019-09-08,Starbucks,0.5493438408,6816,-1.9583778673024748
2019-09-07,Starbucks,0.52220448955,7449,-1.9453670969333223
2019-09-06,Starbucks,0.46907708015000005,12116,-1.849440927402779
2019-09-05,Starbucks,0.3808789837,9858,-1.8958521746279702
2019-09-04,Starbucks,0.26022508554999996,11566,-1.8607457041848228
2019-09-03,Starbucks,0.19767277974999997,10166,-1.8895214996300256
2019-09-01,Starbucks,0.1853923107,7225,-1.9499712242045548
2019-08-31,Starbucks,0.20837322375,9074,-1.9119666200772836
2019-08-30,Starbucks,0.17172761124999997,14708,-1.7961645975499465
2019-08-29,Starbucks,0.11717740619999992,19866,-1.6901463454739785
2019-08-28,Starbucks,0.007383303549999889,12850,-1.8343541889336512
2019-08-27,Starbucks,-0.05706116595000006,17591,-1.736907013072433
2019-08-26,Starbucks,-0.13251003730000008,8566,-1.9224081229959713
2019-08-25,Starbucks,-0.1166758734000001,6908,-1.9564868864589329
2019-08-24,Starbucks,-0.11557812195000008,10941,-1.8735920414371454
2019-08-23,Starbucks,-0.14918997210000004,11882,-1.8542505960700484
2019-08-22,Starbucks,-0.36121529075000003,14183,-1.8069555208418975
2019-08-21,Starbucks,-0.66114337555,7557,-1.943147249856121
2019-08-20,Starbucks,-0.6796915203,8016,-1.9337128997780153
2019-08-19,Starbucks,-0.6912890776,7108,-1.9523760585381895
2019-08-18,Starbucks,-0.74558720705,6875,-1.9571651730658555
2019-08-17,Starbucks,-0.7281385267000002,7957,-1.9349255940146346
2019-08-16,Starbucks,-0.7292306718,13691,-1.8170681575269259
2019-08-15,Starbucks,-0.7432373331,13316,-1.8247759598783195
2019-08-14,Starbucks,-0.7800936937499999,16225,-1.764983967771109
2019-08-13,Starbucks,-0.6782542111500001,18491,-1.7184082874290882
2019-08-12,Starbucks,-0.7036170606500001,11807,-1.8557921565403273
2019-08-11,Starbucks,-0.7704055753500001,8749,-1.9186467154484914
2019-08-10,Starbucks,-0.6547037726500001,7233,-1.949806791087725
2019-08-09,Starbucks,-0.5765201997500001,8624,-1.921215982898956
2019-08-08,Starbucks,-0.5177124461000001,8983,-1.9138370467812218
2019-08-07,Starbucks,-0.47747083425000014,9324,-1.9068280851763546
2019-08-06,Starbucks,-0.4312117681500001,9332,-1.9066636520595248
2019-08-05,Starbucks,-0.4131846469000002,7566,-1.9429622625996876
2019-08-04,Starbucks,-0.4249095380000002,13466,-1.821692838937762
2019-08-03,Starbucks,-0.39203025705000016,36600,-1.346193373345392
2019-08-02,Starbucks,-0.22326768915000011,32624,-1.4279166324097674
2019-08-01,Starbucks,-0.06778753595000012,7616,-1.9419345556195018
2019-07-31,Starbucks,-0.06941390305000013,7416,-1.946045383540245
2019-07-30,Starbucks,-0.0723654514500001,7925,-1.9355833264819535
2019-07-29,Starbucks,-0.09515393310000014,7750,-1.9391803009126038
2019-07-28,Starbucks,-0.20981045305000015,9866,-1.8956877415111404
2019-07-27,Starbucks,-0.28831523945000004,30066,-1.4804941215160734
2019-07-26,Starbucks,-0.30713472275000003,36683,-1.3444873797582835
2019-07-25,Starbucks,-0.27160362125,10525,-1.8821425635122915
2019-07-24,Starbucks,-0.35728516630000007,13216,-1.8268313738386912
2019-07-23,Starbucks,-0.34757009625,10633,-1.87992271643509
